time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.104064	2	15	3	32	0.00406428
0.104064	2	14	3	32	0.00406428
0.104064	2	13	3	32	0.00406428
0.104064	2	30	3	32	0.00406428
0.104064	2	31	3	32	0.00406428
0.104064	2	32	3	32	0.00406428
0.104064	2	33	3	32	0.00406428
0.104064	2	34	3	32	0.00406428
0.104064	2	35	3	32	0.00406428
0.104064	2	36	3	32	0.00406428
0.104064	2	37	3	32	0.00406428
0.104064	2	38	3	32	0.00406428
0.104064	2	39	3	32	0.00406428
0.104064	2	40	3	32	0.00406428
0.104064	2	11	3	32	0.00406428
0.104064	2	10	3	32	0.00406428
0.104064	2	9	3	32	0.00406428
0.104064	2	8	3	32	0.00406428
0.104064	2	6	3	32	0.00406428
0.104064	2	5	3	32	0.00406428
0.104064	2	3	3	32	0.00406428
0.104064	2	2	3	32	0.00406428
0.104064	2	1	3	32	0.00406428
0.104564	2	24	3	32	0.00456428
0.104564	2	23	3	32	0.00456428
0.104564	2	22	3	32	0.00456428
0.104564	2	21	3	32	0.00456428
0.104564	2	20	3	32	0.00456428
0.104564	2	19	3	32	0.00456428
0.104564	2	18	3	32	0.00456428
0.104564	2	17	3	32	0.00456428
0.104564	2	25	3	32	0.00456428
0.104564	2	26	3	32	0.00456428
0.104564	2	27	3	32	0.00456428
0.104564	2	28	3	32	0.00456428
0.104564	2	29	3	32	0.00456428
0.104564	2	16	3	32	0.00456428
0.164064	2	15	3	32	0.00406428
0.164064	2	14	3	32	0.00406428
0.164064	2	13	3	32	0.00406428
0.164064	2	30	3	32	0.00406428
0.164064	2	31	3	32	0.00406428
0.164064	2	32	3	32	0.00406428
0.164064	2	33	3	32	0.00406428
0.164064	2	34	3	32	0.00406428
0.164064	2	35	3	32	0.00406428
0.164064	2	36	3	32	0.00406428
0.164064	2	37	3	32	0.00406428
0.164064	2	38	3	32	0.00406428
0.164064	2	39	3	32	0.00406428
0.164064	2	40	3	32	0.00406428
0.164064	2	11	3	32	0.00406428
0.164064	2	10	3	32	0.00406428
0.164064	2	9	3	32	0.00406428
0.164064	2	8	3	32	0.00406428
0.164064	2	6	3	32	0.00406428
0.164064	2	5	3	32	0.00406428
0.164064	2	3	3	32	0.00406428
0.164064	2	2	3	32	0.00406428
0.164064	2	1	3	32	0.00406428
0.164564	2	24	3	32	0.00456428
0.164564	2	23	3	32	0.00456428
0.164564	2	22	3	32	0.00456428
0.164564	2	21	3	32	0.00456428
0.164564	2	20	3	32	0.00456428
0.164564	2	19	3	32	0.00456428
0.164564	2	18	3	32	0.00456428
0.164564	2	17	3	32	0.00456428
0.164564	2	25	3	32	0.00456428
0.164564	2	26	3	32	0.00456428
0.164564	2	27	3	32	0.00456428
0.164564	2	28	3	32	0.00456428
0.164564	2	29	3	32	0.00456428
0.164564	2	16	3	32	0.00456428
