time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.104064	2	8	3	34	0.00152857
0.104064	2	9	3	34	0.00152857
0.104064	2	10	3	34	0.00152857
0.104064	2	11	3	34	0.00152857
0.104064	2	12	3	34	0.00152857
0.104064	2	13	3	34	0.00152857
0.104064	2	14	3	34	0.00152857
0.104064	2	15	3	34	0.00152857
0.104064	2	16	3	34	0.00152857
0.104064	2	17	3	34	0.00152857
0.104064	2	18	3	34	0.00152857
0.104064	2	19	3	34	0.00152857
0.104064	2	7	3	34	0.00152857
0.104064	2	6	3	34	0.00152857
0.104064	2	5	3	34	0.00152857
0.104064	2	4	3	34	0.00152857
0.104064	2	3	3	34	0.00152857
0.104064	2	2	3	34	0.00152857
0.104064	2	1	3	34	0.00152857
0.164064	2	8	3	34	0.00152857
0.164064	2	9	3	34	0.00152857
0.164064	2	10	3	34	0.00152857
0.164064	2	11	3	34	0.00152857
0.164064	2	12	3	34	0.00152857
0.164064	2	13	3	34	0.00152857
0.164064	2	14	3	34	0.00152857
0.164064	2	15	3	34	0.00152857
0.164064	2	16	3	34	0.00152857
0.164064	2	17	3	34	0.00152857
0.164064	2	18	3	34	0.00152857
0.164064	2	19	3	34	0.00152857
0.164064	2	20	3	34	0.00152857
0.164064	2	7	3	34	0.00152857
0.164064	2	6	3	34	0.00152857
0.164064	2	5	3	34	0.00152857
0.164064	2	4	3	34	0.00152857
0.164064	2	3	3	34	0.00152857
0.164064	2	2	3	34	0.00152857
0.164064	2	1	3	34	0.00152857
0.174064	2	8	3	34	0.00152857
0.174064	2	9	3	34	0.00152857
0.174064	2	10	3	34	0.00152857
0.174064	2	11	3	34	0.00152857
0.174064	2	12	3	34	0.00152857
0.174064	2	13	3	34	0.00152857
0.174064	2	14	3	34	0.00152857
0.174064	2	15	3	34	0.00152857
0.174064	2	16	3	34	0.00152857
0.174064	2	17	3	34	0.00152857
0.174064	2	18	3	34	0.00152857
0.174064	2	19	3	34	0.00152857
0.174064	2	20	3	34	0.00152857
0.174064	2	7	3	34	0.00152857
0.174064	2	6	3	34	0.00152857
0.174064	2	5	3	34	0.00152857
0.174064	2	4	3	34	0.00152857
0.174064	2	3	3	34	0.00152857
0.174064	2	2	3	34	0.00152857
0.174064	2	1	3	34	0.00152857
0.184064	2	8	3	34	0.00152857
0.184064	2	9	3	34	0.00152857
0.184064	2	10	3	34	0.00152857
0.184064	2	11	3	34	0.00152857
0.184064	2	12	3	34	0.00152857
0.184064	2	13	3	34	0.00152857
0.184064	2	14	3	34	0.00152857
0.184064	2	15	3	34	0.00152857
0.184064	2	16	3	34	0.00152857
0.184064	2	17	3	34	0.00152857
0.184064	2	18	3	34	0.00152857
0.184064	2	19	3	34	0.00152857
0.184064	2	7	3	34	0.00152857
0.184064	2	6	3	34	0.00152857
0.184064	2	5	3	34	0.00152857
0.184064	2	4	3	34	0.00152857
0.184064	2	3	3	34	0.00152857
0.184064	2	2	3	34	0.00152857
0.184064	2	1	3	34	0.00152857
0.194064	2	8	3	34	0.00152857
0.194064	2	9	3	34	0.00152857
0.194064	2	10	3	34	0.00152857
0.194064	2	11	3	34	0.00152857
0.194064	2	12	3	34	0.00152857
0.194064	2	13	3	34	0.00152857
0.194064	2	14	3	34	0.00152857
0.194064	2	15	3	34	0.00152857
0.194064	2	16	3	34	0.00152857
0.194064	2	17	3	34	0.00152857
0.194064	2	18	3	34	0.00152857
0.194064	2	19	3	34	0.00152857
0.194064	2	20	3	34	0.00152857
0.194064	2	7	3	34	0.00152857
0.194064	2	6	3	34	0.00152857
0.194064	2	5	3	34	0.00152857
0.194064	2	4	3	34	0.00152857
0.194064	2	3	3	34	0.00152857
0.194064	2	2	3	34	0.00152857
0.194064	2	1	3	34	0.00152857
0.204064	2	8	3	34	0.00152857
0.204064	2	9	3	34	0.00152857
0.204064	2	10	3	34	0.00152857
0.204064	2	11	3	34	0.00152857
0.204064	2	12	3	34	0.00152857
0.204064	2	13	3	34	0.00152857
0.204064	2	14	3	34	0.00152857
0.204064	2	15	3	34	0.00152857
0.204064	2	16	3	34	0.00152857
0.204064	2	17	3	34	0.00152857
0.204064	2	18	3	34	0.00152857
0.204064	2	19	3	34	0.00152857
0.204064	2	20	3	34	0.00152857
0.204064	2	7	3	34	0.00152857
0.204064	2	6	3	34	0.00152857
0.204064	2	5	3	34	0.00152857
0.204064	2	4	3	34	0.00152857
0.204064	2	3	3	34	0.00152857
0.204064	2	2	3	34	0.00152857
0.204064	2	1	3	34	0.00152857
0.214064	2	8	3	34	0.00152857
0.214064	2	9	3	34	0.00152857
0.214064	2	10	3	34	0.00152857
0.214064	2	11	3	34	0.00152857
0.214064	2	12	3	34	0.00152857
0.214064	2	13	3	34	0.00152857
0.214064	2	14	3	34	0.00152857
